timer,p1_id,p1_health,p1_x,p1_y,p1_jumping,p1_crouching,p1_in_move,p1_move_id,p2_id,p2_health,p2_x,p2_y,p2_jumping,p2_crouching,p2_in_move,p2_move_id,p1_rel_x,p1_rel_y,p1_facing_opponent,p1_health_diff,act_B,act_Y,act_X,act_A,act_L,act_R,act_Up,act_Down,act_Left,act_Right,act_Select,act_Start
148,3,149,199,192,0,0,0,0,6,170,260,192,0,0,0,0,-61,0,1,-21,0,0,0,0,0,0,0,0,0,0,0,0
148,3,149,196,192,0,0,0,0,6,170,262,192,0,0,0,0,-66,0,1,-21,0,0,0,0,0,0,0,0,0,0,0,0
148,3,149,193,192,0,0,0,0,6,170,264,192,0,0,0,0,-71,0,1,-21,0,0,0,0,0,0,0,0,1,0,0,0
148,3,149,193,192,0,0,0,0,6,170,264,192,0,0,0,0,-71,0,1,-21,0,0,0,0,0,0,0,0,1,0,0,0
148,3,149,187,192,0,0,0,0,6,170,268,192,0,0,0,0,-81,0,1,-21,0,0,0,0,0,0,0,0,1,0,0,0
148,3,149,185,192,0,0,0,0,6,170,270,192,0,0,0,0,-85,0,1,-21,0,0,0,0,0,0,0,0,0,0,0,0
148,3,149,183,192,0,0,0,0,6,170,271,192,0,0,0,0,-88,0,1,-21,0,0,0,0,0,0,0,0,0,0,0,0
148,3,149,183,192,0,0,0,0,6,170,271,192,0,0,0,0,-88,0,1,-21,0,0,0,0,0,0,0,0,1,0,0,0
148,3,149,179,192,0,0,0,0,6,170,272,192,0,0,0,0,-93,0,1,-21,0,0,0,0,0,0,0,0,1,0,0,0
148,3,149,178,192,0,0,0,0,6,170,272,192,0,0,0,0,-94,0,1,-21,0,0,0,0,0,0,0,0,0,0,0,0
148,3,149,178,192,0,0,0,0,6,170,272,192,0,0,0,0,-94,0,1,-21,0,0,0,0,0,0,0,0,0,0,0,0
148,3,149,178,192,0,0,0,0,6,170,270,192,0,0,0,0,-92,0,1,-21,0,0,0,0,0,0,0,0,0,0,0,0
148,3,149,177,192,0,0,0,0,6,170,267,192,0,0,0,0,-90,0,1,-21,0,0,0,0,0,0,0,0,0,1,0,0
148,3,149,176,192,0,0,0,0,6,170,266,192,0,0,0,0,-90,0,1,-21,0,0,0,0,0,0,0,0,0,1,0,0
147,3,149,176,192,0,0,0,0,6,170,265,192,0,0,0,0,-89,0,1,-21,0,0,0,0,0,0,0,0,0,1,0,0
147,3,149,176,192,0,0,0,0,6,170,265,192,0,0,0,0,-89,0,1,-21,0,0,0,0,0,0,0,0,0,0,0,0
147,3,149,178,192,0,0,0,0,6,170,263,192,0,0,0,0,-85,0,1,-21,0,0,0,0,0,0,0,0,0,0,0,0
147,3,149,178,192,0,0,0,0,6,170,262,192,0,0,0,0,-84,0,1,-21,0,0,0,0,0,0,0,0,0,0,0,0
147,3,149,178,192,0,0,0,0,6,170,259,192,0,0,0,0,-81,0,1,-21,0,0,0,0,0,0,0,0,0,1,0,0
147,3,149,180,192,0,0,0,0,6,170,257,192,0,0,0,0,-77,0,1,-21,0,0,0,0,0,0,0,0,0,1,0,0
147,3,149,180,192,0,0,0,0,6,170,257,192,0,0,0,0,-77,0,1,-21,0,0,0,0,0,0,0,0,0,1,0,0
147,3,149,184,192,0,0,0,0,6,170,254,192,0,0,0,0,-70,0,1,-21,0,0,0,0,0,0,0,0,0,1,0,0
147,3,149,186,192,0,0,0,0,6,170,253,192,0,0,0,0,-67,0,1,-21,0,0,0,0,0,0,0,0,0,0,0,0
147,3,149,186,192,0,0,0,0,6,170,252,192,0,0,0,0,-66,0,1,-21,0,0,0,0,0,0,0,0,0,0,0,0
147,3,149,186,192,0,0,0,0,6,170,252,192,0,0,0,0,-66,0,1,-21,0,0,0,0,0,0,0,0,0,0,0,0
147,3,149,186,192,0,0,0,0,6,170,249,192,0,0,0,0,-63,0,1,-21,0,0,0,0,0,0,0,0,0,1,0,0
147,3,149,186,192,0,0,0,0,6,170,249,192,0,0,0,0,-63,0,1,-21,0,0,0,0,0,0,0,0,0,0,0,0
147,3,149,188,192,0,0,0,0,6,170,249,192,0,0,1,1,-61,0,1,-21,0,0,0,0,0,0,0,0,0,0,0,0
